,asin,unixReviewTime,reviewText,overall,reviewTime,summary,Category,title,price,salesRank,brand,Industry,Sentiment.Score,Quality,Price
1,B000UWH40W,1373846400,The item was just like the description said. We have had no problems with the phone! Thank you so much!,5,"07 15, 2013",Great,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.277317,0,0
2,B000UWH40W,1298937600,"This is a beautiful GSM/3G phone with a bright, colorful screen and many features found in more expensive devices.  The Nokia 6555 will find the tower signal even if you live on Mars, and it will do it with great call clarity.  I have never had a more ergonomically pleasing keypad than the one on this phone---all buttons are smooth, require just the right amount of pressure, and they deliver the appropriate tactile feedback. BUT, battery life and function ruin an otherwise perfect machine. As other reviewers have aptly written, this phone ravishes battery power very quickly, even when you are cruising through the menus and not even talking. Adding insult to injury, the battery indicator on the screen drops slowly with the passing minutes then falls to ""low battery"" unexpectedly, oftentimes giving you a warning of a bare 3 minutes before all goes dead. I love this phone, BUT I ALWAYS CARRY MY OLD 5-YEAR-OLD NOKIA 1208 as a trusty backup. The 1208 has no internet, no camera, no bluetooth, and no music, but the battery lasts seemingly forever, and it will pick up a GSM signal maybe halfway to Mars. The Nokia 6555 is perfect except for its battery performance, but when I carry BOTH phones I get everything I need. There really is no other way to do it.",3,"03 1, 2011",Short Battery Life is Fatal Flaw !,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.139418,0.092945333,0.046472667
3,B000UWH40W,1193788800,"I've been a hard-core Nokia-only user for years (my last 4 or 5 phones.) My old candy-bar style Nokia with a tiny screen was getting old, so when I heard about this hot new flip phone from Nokia that was the same size, I wanted it.  Well, I got it and it isn't that great.  The 320x240 QVGA screen is nice and clear, but the software and services for it are not up to par with the latest from Sony, etc. that my friends at work show me.The USB connector is ""micro-USB"" so I had to order a new cable since all my cables are ""mini-USB"" which is only about 1mm larger.  Also, it has the narrow charging port, so all my old Nokia chargers are worthless.  The headphone jack is also micro-sized.  Who has micro-headphones?I'm pretty technically inclined, but I can't figure out how to wirelessly transfer my pictures off this camera.  So the 2 ways to get pics off are to buy the micro-USB cable, or yank out the micro-SD-RAM chip.  I say yank because it is behind the battery, next to the SIM card.",3,"10 31, 2007",not a good upgrade for classic Nokia lovers,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,-0.499756,0,-0.499756
4,B000UWH40W,1194912000,"Bought this from AT&T; store and noticed that the battery life is way too short. Even with very moderate use the battery runs out quickly. I have to charge it every night, as it dies quickly.This is my first Nokia. I liked its other features such as the buttons and ease of navigation menus and browsing in general. Voice is loud and clear. It has a good display, bright even in daylight. It is light and just small enough for a phone. Doesn't drop calls.Well, inspite of al the above positive aspects, I will not recommend this to a friend because of the low battery life.Thanks",2,"11 13, 2007",Poor battery life,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.313977,0,0
5,B000UWH40W,1191801600,"Just got this phone on Weds, as replacement for my old Nokia - I was looking for a phone that is reliable, easy to use, has texting capabilities, sleek, has a streamlined design, a loud alarm (I rely on my phone to wake me up), and takes clear pictures. This phone is compact, and performed well when I saw it at the Cingular store.BUT today, I experienced the worst battery life that a cell phone could have. After charging this phone to the max, I texted my friends, and talked for about 3 hours when the battery indicator showed that 1/4 of its capacity. Then, my phone died. Usually, I'd have at least 1 hour left to use the phone, with an indication of 1/4 battery. BUT NO! It just died, and luckily, I wasn't in a situation where I needed a phone (I was at home all day today). Everyday since I got this phone, I've had to charge it. Usually every 2 days I'd charge my old Nokia phone.I will be calling Cingular to ask for a replacement battery.",3,"10 8, 2007",Battery Life Makes this phone mediocre,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,-0.172075,0,0
6,B000UWH40W,1354406400,"I first got this phone in in 2005...nearly 8 years later, it still works just fine.  I use it only for phone use.  The phone still uses it's orginal battery.  The only thing is the battery needs to be charged everyday versus every 3 days when I first bought it.  But, show me a new smart phone that goes longer than 1 day.  If you need a phone for just phone use...get this one.",5,"12 2, 2012",Bring back the technology!!!!,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.298668,0,0
7,B000UWH40W,1195689600,"While it is true that the Nokia 6555 has very short battery life, it is common to all 3G phones.  However, there is a way to increase battery life: change connection type from UMTS to GSM from Auto.  This will disable 3G and force the phone into GSM mode, which will greatly increase battery life.Hope this works.",4,"11 22, 2007",A fix for the battery life problem,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.0607768,0,0
8,B000UWH40W,1194307200,"Thanks to all the previous reviewers who helped me make the decision to choose this phone. Let me preface my review by saying I upgraded from a classic design $50 Tmobile Nokia that I bought two years ago and which had no fancy features but served me well. So I decided to go for a Nokia phone again and decided to buy the Nokia 6555 :)My verdict is I think its awesome and I'm very happy with it. It takes great pictures, has a nice interface and is sleek and easy to manipulate (keys are great).Like previous reviewers, I was surprised that the battery doesn't necessarily last a day even with just phone usage since my previous basic phone had a battery life that lasted up to a week. However, after chatting to my friends (who thanked me for coming into the 21st century with my new phone), I discovered that most 3G phones have a short battery life.So in all, I am really happy with my upgraded phone and recommend it to any Nokia fans :)",4,"11 6, 2007",Awesome phone despite battery life,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.75306,0,0.75306
9,B000UWH40W,1195430400,"I have had this phone for almost a week, and unlike all others I have tried this on works in my home which has very poor cell service.  I would have to go outside to use other phones.  I tried a Razr and it would not even work well enough inside the house for it to wring in and I could run outside to take the call.  This phone works in my home!  It is clear and has not dropped a call!  As for battery it last a few days and it is a quick charge so I do not have a problem with that,,and since this is my only phone (no home phone) I am very satisfied with it so far.  That said I have a camera so that is just something that I would use in an emergency and don't care that much about rings, as long as it is loud enough and it is.  Some others may want all the bells and whistles but if you live or travel to a place with poor cell service this is YOUR Phone!  The sleek design is a plus!",5,"11 19, 2007",Works in poor service area!,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.0525577,0,0
10,B000UWH40W,1257552000,"Very Good Battery Life compared to other phones, charges very quickly.  Great Sound, clarity and super easy to use.  very Rugged also.  No complaints!",5,"11 7, 2009",Very Impressive,Cell Phones,"Nokia 6555 Unlocked GSM Flip Phone with 1.3MP Camera, Video MP3/Video Player, Bluetooth and microSD Slot - Black",94.38,{'Cell Phones & Accessories': 85983},Nokia,Cell_Phones,0.263085,0,0
